Lawyer,attorney,solicitor,counsel,litigator,barrister,,,,,
Judge,presiding_judge,District_Judge,Supreme_Court,Circuit_Judge,Superior_Court_Judge,Chief _Justice,,,,
Complaint,allegation,affidavit,grievance,counterclaim,complaint_alleges,petition,,,,
Statute,law,statutory,Act,constitutional,RICO,Legislative,,,,
Plaintiff,claimant,Lead_Plaintiff,Respondent,lawsuit,tort,Legal_Complaint,Civil_Action,,,
Accuser,Mesereau,Tom_Sneddon,sexually_assaulted,child_molestation,victim,,,,,
Witness,eyewitness,testimony,cross_examination,corroborate,Evidence,,,,,
Victim,assailant,complainant,survivor,attacker,Sexual_Offence,Assault,Battery,Law_Suit,,
Petitioner,appellant,writ_petition,complainant,prima_facie,ex_parte,,,,,
Violation,blatant_violation,flagrant_violation,breach,flouting,infringements,,,,,
Manslaughter,negligent_homicide,involuntary_manslaughter,attempted_murder,vehicular_manslaughter,Acquitted,Conviction,Inquest,Guilty_plea,,
Murder,Homicide,Murderer,Murder_Suspect,Killer,Death,Criminal,,,,
Assault,Weapon,Threat,Sexual_Assault,Violence,Criminal,,,,,
Appeal,Appellate_Court,Supreme_Court,Appellate,Ninth_Circuit,Judgment,Guilty_Plea,,,,
Battery,Assault,Criminal,Violence,Non_Fatal_Offence,Grievous_Harm,Inflicted_Harm,,,,
Crime,Organized_Crime,Child_Abuse,Homicide,Cybercrime,Crime_Unit,Rape,,,,
Mayhem,Mania,Criminal_Defense,Criminal_Act,Insanity,Victim,,,,,
Obscenity,pornography,vulgarity,indecent,lewdness,child_pornography,,,,,
Rape,Sexual_Abuse,Domestic_Violence,Violence,Torture,Sexual_Offence,Gang_rape,Consensual_Rape,Martial_Rape,,
Theft,thieves,identity_theft,petty_theft,grand_theft,Permanently_Depriving,Intention,Criminal_Charge,,,
Defect,flaw,abnormality,faulty,deformity,birth_defect,genetic_defect,,,,
Consumer,retail,customer,products,PPI,e_commerce,Consumer_Product,,,,
Felony,misdemeanor,aggravated_assault,deadly_weapon,aggravated_battery,grand_theft,,,,,
Warranty,lifetime_warranty,Guarantee,OEM,implied_warranty,Contractual,,,,,
Copyright,copyright_infringement,DMCA,intellectual_property_rights,copyrighted_material,patent,antipiracy,,,,
Trademark,registered_trademark,trademark_infringement,logo,intellectual_property_rights,Trademark_Law,Violation,,,,
Patent,patent_infringement,intellectual_property,patent_infringement_suit,inventions,IPR,,,,,
Disclaimer,caveat,legal_disclaimer,cautionary_note,Contractual,Disavowal,,,,,
Allegation,assertion,complaint,unsubstantiated_claims,False_Allegation,Claimed_Fact,,,,,
Abandonment,abrogation,abdication,disposition,Civil_Proceeding,Divorce,,,,,
Immunity,Protection,Sovereignty,Exclusion,Ministerial_act,Liabilities,,,,,
Discrimination,Racism,gender_discrimination,Harassment,Inequality,Affirmative_Action,,,,,
Act,Reform_Act,Protection_Act,Enhancement_Act,Ordinance,Amendment,Privacy_Act,Accountability_Act,Clause,Legislation,Section
Bankruptcy,Insolvency,bankruptcy_protection,Bankruptcy_Court,liquidation,Companies_Creditors_Arrangement,creditor_protection,,,,
Creditor,unsecured_creditors,secured_creditor,Bond_Creditor,Specialty_Creditor,Petition_Creditor,,,,,
Right,Human_Rights,Legal_System,Conventions,Right_Violation,Civil_Right,Domestic_Right,,,,
Fraudulent,Scams,Illegal,Improper,Deceptive,Criminal_Act,,,,,
Petition,Affidavit,Request,Moratorium,Appeal,USCIS,,,,,
Insider,Confidential,Insider_Trading,Representative,Stock_Violation,Federal_Law,,,,,
Defendant,appellant,Plaintiff,Respondent,Claimant,codefendant,,,,,
Bond,Contract,Breach,Bondsman,Contact_Law,General_Obligation,,,,,
Capital,Asset_Management,Equity,Private_Equity,Investment_Management,Financial,,,,,
Shareholder,Investor,unitholder,bondholder,corporate_governance,Stock_Market,,,,,
Acquisition,Merger,Business_Combination,Share_Purchase_Agreement,Definitive_Agreement,Binding_Agreement,,,,,
Goodwill,Intangible_Asset,Business_Law,Trademark,Legal_Status,Customer_Patronage,,,,,
Indemnity,Insurance,Life_Insurance,Contractual_Agreement,Damage_Claim,Compensation,,,,,
Settlement,Mediation,Claim,Dispute,Litigation,Compromise,,,,,
Merger,Acquisition,Business_Combination,Transaction,Consolidation,Legal_Doctrine,,,,,
Amortization,Impairment,Depreciation,Interest_expense,intangible_assets,Deferred_revenue,,,,,
Guaranty,FDIC,Mortgage,Commercial,Privet_Transaction,Contract_Law,,,,,
Casualty,Insurance,Life_Insurance,Commercial_Casualty,Accident_Claim,Policy_Protection,,,,,
Depreciation,Depreciation_depletion,depreciation_amortization,Accounts_payable,Before_Income_Taxes,Tax_Law,,,,,
Exemption,Rule,Exclusion,Clause,Income_Taxation,Federal_Law,,,,,
Compensation,Claims,Liability,Employee,Wages,Indemnification,,,,,
Audit,Public_Accounts,Auditor_General,Internal_Audit,NALFA,Accounts,,,,,
Carjacking,Armed_Robbery,Murder_Suspect,Fatal_Crash,Federal_Law,Theft,,,,,
Slaying,murder,homicide,death,murderer,rape,,,,,
massacre,pogrom,genocide,bombing,cold_blooded_murder,killing,,,,,
Intoxication,Alcoholic,Reckless,Aggression,Involuntary_Intoxication,Criminal_Defense,,,,,
Citation,Cases,Statutes,Legal_Citation,Scholarly_Writing,Case_Citation,,,,,
Affidavit,Petition,sworn_affidavit,Statement,Oath,Voluntary_Statement,,,,,
Deed,mortgagee,Agreement,Indenture,Escrow,covenant,,,,,
Foreclosure,Mortgage,loan_modification,Home_Ownership,HAMP,mortgage_lenders,,,,,
Mortgage,Home_Loans,Mortgage_Brokers,Loan,Foreclosure,Real_Estate,,,,,
Liability,indemnity,Compensation,Litigation,tort,Civil_Law,Contractual,Tax,,,
Will,Deed,Legal_Document,Testator,Declaration,Executor,,,,,
Duty,Breach,Tort,Jurisprudence,Negligence,Breach,,,,,
Tort,Litigation,tort_reform,Liability,Economic_Loss,Psychiatric_Injury,Employer_Liability,,,,
Causation,Principle,Tort,Negligence,Criminal_Law,Factual_Causation,Legal_Causation,,,,
Endangerment,Felony,Sex_Abuse,Assault,Conviction,Charge,,,,,
Negligence,carelessness,Inaction,Liability,criminal_negligence,Manslaughter,,,,,
Accident,Crash,Fatal,Injury,Reckless,Death,,,,,
Infringement,Patents,Trademark,Intellectual_Property,USPTO,patent_infringement,copyright_infringement,DMCA,WIPO,Violation,Agreement_Violation
Emancipation,Independence_Day,Liberation,Slavery,Rights,Divorce,,,,,
Domicile,Statutory,Deportation,Residency,Legal_Residence,Jurisdiction,,,,,
Legitimate,Conventional,Common_Law,Legitimacy,Human_Rights,Family_Law,,,,,
Voluntary,contributory,Programme,Organized_Crime,Intentional,Voluntary_Act,Sexual_Offence,Intoxication,,,
Guardianship,guardian_ad_litem,Child_Protection,Custody,Special_Needs,Child_Welfare,Legal_Aid,Child_Abuse,,,
Disability,guardianship,guardian_ad_litem,Child_Protection,Legal_Aid,Juvenile_Justice,,,,,
Probate,Clerk,Estate_Planning,Property_Tax,Divorce,Assessor,Last_Will,,,,
Heir,Ruler,Crowned,Conventional,Inheritance,Intestate_Succession,,,,,
Whistleblower,Watchdog,Ethics,Act,Employers_Misconduct,OSH,,,,,
Discharge,Disposition,Procedure,Statutory,Deployment,Termination,,,,,
Accrual,Liabilities,Limitations,Claims,Statute,Accured_Right,,,,,
Alimony,Divorce,spousal,Child_Support,Marriage,Agreement,,,,,
Custody,Physical_Care,Arrest,Guardianship,Family_Law,Police,,,,,
Motion,Constitutional,Procedural_Device,Civil_Proceeding,Criminal_Proceeding,Ruling,,,,,
Summons,Subpoenas,Appear,Lawsuit_Against,Complaint,Command,,,,,
Visitation,Family_Law,Alimony,Divorce,Separation,Child_Custody,,,,,
Order,Decree,Rule,Proclamation,Judge,Mandate,,,,,
Obligation,Duty,Liability,Moral_Obligation,Legal_Obligation,Civil_Law,Private_Law,,,,
Jurisdiction,Procedure,adjudicating,Regulation,Geographical,Legal_Authority,Courts,,,,
Annulment,Divorce,Dismissal,Procedure,Declaration_of_nullity,Marriage,,,,,
Evidence,Testimony,circumstantial_evidence,anecdotal_evidence,empirical_evidence,prima_facie_evidence,conclusive_evidence,eyewitness_testimony,irrefutable_evidence,,
Insanity,Madness,Mayhem,Disorder,Insane,Mental,Criminal_Defense,,,,
Motive,Murder,Cause,Mens_Rea,Intention,Manslaughter,,,,,
Testimony,Closing_arguments,Evidence,cross_examination,Trial,testify,,,,,
Trial,Murder_Trial,Arraignment,Jury_selection,Acquitted,Dismissal,,,,,
Allegation,Lawsuit_Against,Claim,Indictment,Police_Investigate,Misconduct,,,,,
Mandamus,Certiorari,injunctive_relief,Petitioner,writ,Judicial_Remedy,,,,,